YEAR_ID,MONTH_ID,monthly_revenue,order_count
2003,1,129753.60,39
2003,2,140836.19,41
2003,3,174504.90,50
2003,4,201609.55,58
2003,5,192673.11,58
2003,6,168082.56,46
2003,7,187731.88,50
2003,8,197809.30,58
2003,9,263973.36,76
2003,10,568290.97,158
2003,11,1029837.66,296
2003,12,261876.46,70
2004,1,316577.42,91
2004,2,311419.53,86
2004,3,205733.73,56
2004,4,206148.12,64
2004,5,273438.39,74
2004,6,286674.22,85
2004,7,327144.09,91
2004,8,461501.27,133
2004,9,320750.91,95
2004,10,552924.25,159
2004,11,1089048.01,301
2004,12,372802.66,110
2005,1,339543.42,99
2005,2,358186.18,97
2005,3,374262.76,106
2005,4,261633.29,56
2005,5,457861.06,120
