YEAR_ID,MONTH_ID,monthly_revenue,mom_change,mom_pct_change
2003,1,129753.60,NULL,NULL
2003,2,140836.19,11082.59,8.5
2003,3,174504.90,33668.71,23.9
2003,4,201609.55,27104.65,15.5
2003,5,192673.11,-8936.44,-4.4
2003,6,168082.56,-24590.55,-12.8
2003,7,187731.88,19649.32,11.7
2003,8,197809.30,10077.42,5.4
2003,9,263973.36,66164.06,33.4
2003,10,568290.97,304317.61,115.3
2003,11,1029837.66,461546.69,81.2
2003,12,261876.46,-767961.20,-74.6
2004,1,316577.42,54700.96,20.9
2004,2,311419.53,-5157.89,-1.6
2004,3,205733.73,-105685.80,-33.9
2004,4,206148.12,414.39,0.2
2004,5,273438.39,67290.27,32.6
2004,6,286674.22,13235.83,4.8
2004,7,327144.09,40469.87,14.1
2004,8,461501.27,134357.18,41.1
2004,9,320750.91,-140750.36,-30.5
2004,10,552924.25,232173.34,72.4
2004,11,1089048.01,536123.76,97.0
2004,12,372802.66,-716245.35,-65.8
2005,1,339543.42,-33259.24,-8.9
2005,2,358186.18,18642.76,5.5
2005,3,374262.76,16076.58,4.5
2005,4,261633.29,-112629.47,-30.1
2005,5,457861.06,196227.77,75.0
